2011-06-03 12:47:49.907123
location	title	price	value	numBought	url
lansing	$68 for $199 at Icing Teeth Whitening	68	199	30	http://www.groupon.com/deals/icing-teeth-whitening-lansing?c=all&amp;p=1
lansing	La Bodega	10	20	249	http://www.groupon.com/deals/orchid-lane-7?c=all&amp;p=1
lansing	Mixbook	15	50	526	http://www.groupon.com/deals/mixbook-lansing?c=all&amp;p=1
lansing	The Grand Fish and Lansing Metro Marinas	20	45	123	http://www.groupon.com/deals/lansing-metro-marinas-and-the-grand-fish?c=all&amp;p=1
lansing	Wines for Humanity	29	59	18	http://www.groupon.com/deals/wines-for-humanity-lansing?c=all&amp;p=1
winnipeg	C$40 for C$100 at ScanDigital	40	100	41	http://www.groupon.com/deals/scandigital-winnipeg-canada?c=all&amp;p=1
winnipeg	Virginia's Soap Deli	10	20	120	http://www.groupon.com/deals/virginias-soap-deli?c=all&amp;p=1
winnipeg	The Lodge at Giants Ridge	179	418	10	http://www.groupon.com/deals/lodge-at-giants-ridge-winnipeg?c=all&amp;p=1
stcatharines-niagara	C$14 for C$28 at Artisanal Palate	14	28	172	http://www.groupon.com/deals/artisanal-palate-1?c=all&amp;p=1
stcatharines-niagara	Heritage River Canoe &amp; Kayak Company	38	80	64	http://www.groupon.com/deals/heritage-river?c=all&amp;p=1
syracuse	$6 for $12 at Auburn Doubledays	6	12	83	http://www.groupon.com/deals/auburn-doubledays?c=all&amp;p=1
syracuse	SoNo Pizza and Pasta Factory	8	16	118	http://www.groupon.com/deals/sono-pizza-and-pasta-factory?c=all&amp;p=1
syracuse	Veterans Helicopter Solutions	75	150	25	http://www.groupon.com/deals/veterans-helicopter-solutions?c=all&amp;p=1
syracuse	Reality In Style	40	90	2	http://www.groupon.com/deals/reality-in-style-syracuse?c=all&amp;p=1
syracuse	Five Star Martial Arts	20	88	99	http://www.groupon.com/deals/five-star-martial-arts-syracuse?c=all&amp;p=1
syracuse	Blockbuster Express	2	5	1789	http://www.groupon.com/deals/blockbuster-express-syracuse-1?c=all&amp;p=1
fort-lauderdale	$20 for $40 at 15th Street Fisheries	20	40	2234	http://www.groupon.com/deals/15th-street-fisheries?c=all&amp;p=1
fort-lauderdale	Gaylord Palms Resort	189	588	10	http://www.groupon.com/deals/gaylord-palms-resort-fort-lauderdale?c=all&amp;p=1
fort-lauderdale	Santa Lolla	37	75	19	http://www.groupon.com/deals/santa-lolla?c=all&amp;p=1
fort-lauderdale	Contour Day Spa	119	273	65	http://www.groupon.com/deals/contour-day-spa-fort-lauderdale?c=all&amp;p=1
fort-lauderdale	T-3 Health and Fitness	25	100	207	http://www.groupon.com/deals/t3-health-and-fitness?c=all&amp;p=1
eugene	$30 for $75 at Midtown Pilates Center	30	75	34	http://www.groupon.com/deals/midtown-pilates-center-eugene-or?c=all&amp;p=1
eugene	Nutty Guys	10	25	324	http://www.groupon.com/deals/nutty-guys-eugene?c=all&amp;p=1
green-bay	$10 for $20 at Godfather's Pizza 	10	20	225	http://www.groupon.com/deals/godfathers-pizza-green-bay?c=all&amp;p=1
green-bay	Dali Decals	20	50	34	http://www.groupon.com/deals/dali-decals-green-bay?c=all&amp;p=1
tulsa	$50 for $140 at Tulsa Clean Team	50	140	140	http://www.groupon.com/deals/tulsa-clean-team-tulsa?c=all&amp;p=1
tulsa	The Sherwin Miller Museum of Jewish Art	6	13	30	http://www.groupon.com/deals/sherwin-miller-museum-of-jewish-art?c=all&amp;p=1
tulsa	The Spudder Restaurant	15	30	347	http://www.groupon.com/deals/spudder-restaurant?c=all&amp;p=1
tulsa	Labzara Ranch	25	50	52	http://www.groupon.com/deals/labzara-ranch?c=all&amp;p=1
tulsa	Pamela's Nail Boutique &amp; Salon	12	25	327	http://www.groupon.com/deals/pamelas-nail-boutique?c=all&amp;p=1
tulsa	Center Stage &amp; CheerAction	20	40	51	http://www.groupon.com/deals/center-stage-and-cheer-action?c=all&amp;p=1
tulsa	Soiree	85	170	29	http://www.groupon.com/deals/soiree-tulsa?c=all&amp;p=1
tulsa	Bandals Footwear	30	75	37	http://www.groupon.com/deals/bandals-tulsa?c=all&amp;p=1
new-york	$50 for $102 at Spirit Cruises	50	102	883	http://www.groupon.com/deals/spirit-cruises-1?c=all&amp;p=1
new-york	Bartow-Pell Mansion Museum	5	10	58	http://www.groupon.com/deals/bartowpell-mansion-museum?c=all&amp;p=1
new-york	"Fuerza Bruta: Look Up"	40	80	0	http://www.groupon.com/deals/fuerza-bruta-new-york?c=all&amp;p=1
new-york	Jeffrey Stein Salon	79	282	95	http://www.groupon.com/deals/jeffrey-stein-salon?c=all&amp;p=1
new-york	Sandoony USA	15	30	238	http://www.groupon.com/deals/sandoony-usa-new-york?c=all&amp;p=1
new-york	Stir	10	20	81	http://www.groupon.com/deals/stir?c=all&amp;p=1
new-york	The Parlour	15	30	249	http://www.groupon.com/deals/the-parlour-new-york?c=all&amp;p=1
new-york	Beauty and Youth Spa	35	70	139	http://www.groupon.com/deals/beauty-and-youth-salon-and-spa-3?c=all&amp;p=1
new-york	Kew Gardens Cinemas	18	37	966	http://www.groupon.com/deals/cobble-hill-cinemas?c=all&amp;p=1
new-york	Giorgio's of Gramercy	15	30	497	http://www.groupon.com/deals/giorgios-of-gramercy-2?c=all&amp;p=1
new-york	On Location Tours	22	44	46	http://www.groupon.com/deals/on-location-tours-2?c=all&amp;p=1
new-york	Talia's Steakhouse	75	175	369	http://www.groupon.com/deals/talias-steakhouse?c=all&amp;p=1
new-york	Art + Auction	40	80	49	http://www.groupon.com/ch/home-and-garden/deals/blue-dolphin-new-york?c=all&amp;p=1
new-york	Capital Audio	20	45	7	http://www.groupon.com/ch/home-and-garden/deals/capital-audio-nyc?c=all&amp;p=1
new-york	Pink Red Kelly	50	100	34	http://www.groupon.com/ch/home-and-garden/deals/pink-red-kelly-nyc?c=all&amp;p=1
new-york	SunSetter Awnings	99	600	16	http://www.groupon.com/ch/home-and-garden/deals/sunsetter-products-nyc?c=all&amp;p=1
new-york	TilesandSmiles	10	25	435	http://www.groupon.com/ch/home-and-garden/deals/tiles-and-smiles-nyc?c=all&amp;p=1
new-york	Violight	20	40	415	http://www.groupon.com/ch/home-and-garden/deals/violight?c=all&amp;p=1
amarillo	$12 for $25 at You Bar	12	25	6	http://www.groupon.com/deals/you-bar-amarillo-1?c=all&amp;p=1
amarillo	Lulu.com	10	25	29	http://www.groupon.com/deals/lulu-amarillo?c=all&amp;p=1
